Order_ID,Product_ID,User_ID,Order_Date,Return_Date,Product_Category,Product_Price,Order_Quantity,Return_Reason,Return_Status,Days_to_Return,User_Age,User_Gender,User_Location,Payment_Method,Shipping_Method,Discount_Applied,Is_Returned
ORD00000000,PROD00000000,USER00000000,8/5/2023,8/26/2024,Clothing,411.59,3,Changed mind,Returned,387,58,Male,City54,Debit Card,Next-Day,45.27,1
ORD00000001,PROD00000001,USER00000001,10/9/2023,11/9/2023,Books,288.88,3,Wrong item,Returned,31,68,Female,City85,Credit Card,Express,47.79,1
ORD00000002,PROD00000002,USER00000002,5/6/2023,,Toys,390.03,5,No Return,Not Returned,0,22,Female,City30,Debit Card,Next-Day,26.64,0
ORD00000003,PROD00000003,USER00000003,8/29/2024,,Toys,401.09,3,No Return,Not Returned,0,40,Male,City95,PayPal,Next-Day,15.37,0
ORD00000004,PROD00000004,USER00000004,1/16/2023,,Books,110.09,4,No Return,Not Returned,0,34,Female,City80,Gift Card,Standard,16.37,0
ORD00000005,PROD00000005,USER00000005,2/14/2024,9/22/2024,Electronics,252.12,1,Defective,Returned,221,46,Female,City47,Debit Card,Next-Day,47.61,1
ORD00000006,PROD00000006,USER00000006,5/29/2023,8/3/2023,Clothing,382.89,2,Wrong item,Returned,66,25,Male,City50,Credit Card,Express,28.49,1
ORD00000007,PROD00000007,USER00000007,2/9/2023,8/1/2024,Electronics,306.39,3,Not as described,Returned,539,67,Female,City39,Credit Card,Express,38.91,1
ORD00000008,PROD00000008,USER00000008,12/25/2024,9/25/2024,Home,302.4,5,Defective,Returned,-91,54,Male,City81,Debit Card,Standard,18.5,1
ORD00000009,PROD00000009,USER00000009,3/10/2023,1/21/2024,Clothing,294.94,3,Not as described,Returned,317,44,Male,City82,Credit Card,Standard,45.21,1
ORD00000010,PROD00000010,USER00000010,5/26/2024,,Toys,119,2,No Return,Not Returned,0,70,Female,City41,Credit Card,Next-Day,8.72,0
ORD00000011,PROD00000011,USER00000011,2/8/2024,,Home,480.48,4,No Return,Not Returned,0,54,Male,City22,Gift Card,Next-Day,0.27,0
ORD00000012,PROD00000012,USER00000012,6/7/2024,,Toys,216.41,3,No Return,Not Returned,0,66,Male,City17,PayPal,Standard,30.26,0
ORD00000013,PROD00000013,USER00000013,7/22/2023,,Electronics,198.78,2,No Return,Not Returned,0,51,Male,City85,PayPal,Next-Day,36.58,0
ORD00000014,PROD00000014,USER00000014,9/1/2024,,Electronics,146.37,4,No Return,Not Returned,0,45,Male,City9,PayPal,Next-Day,28.23,0
ORD00000015,PROD00000015,USER00000015,10/2/2024,12/4/2023,Electronics,370.08,2,Wrong item,Returned,-303,24,Female,City27,Credit Card,Standard,23.99,1
ORD00000016,PROD00000016,USER00000016,5/9/2024,,Clothing,311.08,1,No Return,Not Returned,0,52,Female,City77,PayPal,Standard,6.66,0
ORD00000017,PROD00000017,USER00000017,2/3/2023,6/3/2023,Electronics,400.12,1,Defective,Returned,120,33,Male,City33,PayPal,Standard,18.25,1
ORD00000018,PROD00000018,USER00000018,10/7/2024,3/18/2023,Books,358.31,1,Changed mind,Returned,-569,51,Female,City43,PayPal,Standard,11.84,1
ORD00000019,PROD00000019,USER00000019,7/6/2024,5/1/2024,Electronics,227.94,5,Changed mind,Returned,-66,50,Female,City64,Debit Card,Express,43.86,1
ORD00000020,PROD00000020,USER00000020,7/3/2023,,Clothing,6.14,1,No Return,Not Returned,0,31,Female,City70,Credit Card,Next-Day,47.47,0
ORD00000021,PROD00000021,USER00000021,2/28/2024,1/6/2023,Books,85.69,2,Changed mind,Returned,-418,30,Female,City26,Debit Card,Standard,24.58,1
ORD00000022,PROD00000022,USER00000022,7/13/2024,9/13/2023,Books,227.2,5,Wrong item,Returned,-304,65,Female,City90,Gift Card,Next-Day,27.94,1
ORD00000023,PROD00000023,USER00000023,7/1/2024,1/24/2024,Electronics,57.14,2,Wrong item,Returned,-159,41,Female,City28,Gift Card,Standard,43.06,1
ORD00000024,PROD00000024,USER00000024,7/27/2024,,Toys,274.29,2,No Return,Not Returned,0,18,Male,City84,Gift Card,Express,2.49,0
ORD00000025,PROD00000025,USER00000025,11/22/2024,,Electronics,371.15,5,No Return,Not Returned,0,58,Female,City83,Gift Card,Standard,18.68,0
ORD00000026,PROD00000026,USER00000026,3/5/2023,,Toys,232.97,5,No Return,Not Returned,0,21,Female,City98,Debit Card,Express,9.85,0
ORD00000027,PROD00000027,USER00000027,5/26/2024,,Home,455.82,1,No Return,Not Returned,0,52,Female,City10,PayPal,Express,11.96,0
ORD00000028,PROD00000028,USER00000028,5/15/2024,9/5/2024,Toys,106.6,5,Defective,Returned,113,53,Male,City69,Credit Card,Standard,18.42,1
ORD00000029,PROD00000029,USER00000029,4/6/2024,,Books,317.9,5,No Return,Not Returned,0,59,Female,City32,Gift Card,Standard,18.05,0
ORD00000030,PROD00000030,USER00000030,5/2/2023,,Toys,413.34,3,No Return,Not Returned,0,49,Male,City55,Credit Card,Standard,38.29,0
ORD00000031,PROD00000031,USER00000031,12/9/2023,,Electronics,481.73,5,No Return,Not Returned,0,28,Female,City79,Credit Card,Next-Day,20.03,0
ORD00000032,PROD00000032,USER00000032,6/30/2024,,Toys,308.89,4,No Return,Not Returned,0,68,Female,City47,Debit Card,Express,35.45,0
ORD00000033,PROD00000033,USER00000033,2/3/2024,8/18/2023,Home,335.28,4,Wrong item,Returned,-169,18,Male,City20,Debit Card,Next-Day,25.37,1
